supplier_profile_id,account_id,name,certified,indigenous_marketplace,services_all_australia,states,annual_revenue,employees,ownership_structure,services
a1G7F000000SlhJUAS,0017F00000ivcdsQAA,The Cultural Intelligence Project Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Employment & workplace programs; Business & strategic planning services; Management consulting & consultants; Leadership development & coaching; Branding; Employment & workplace programs; Business & strategic planning services; Management consulting & consultants; Leadership development & coaching; Branding; Employment & workplace programs; Business & strategic planning services; Management consulting & consultants; Leadership development & coaching; Branding
a1G7F000000Sla3UAC,0017F00000ivcZxQAI,Yamatji Marlpa Aboriginal Corporation,Registered,No,No,WA,Over $10M,95,Aboriginal Corporation (Registered with ORIC),Business & strategic planning services; Heritage advisory services; Business & strategic planning services; Heritage advisory services
a1G7F0000003QctUAE,0017F00000ivcZpQAI,Lalgardi Enterprises Pty Ltd,Registered,Yes,No,WA,$50K to $500K,8,Corporation (Pty Ltd),Landscaping services & supplies; Mowing & slashing services; Commercial cleaning; Landscaping services & supplies; Mowing & slashing services; Commercial cleaning; Landscaping services & supplies; Mowing & slashing services; Commercial cleaning
a1G7F000000Slj6UAC,0017F00000ivcJbQAI,The Trustee for the Wula Guda Nyinda Trust,Registered,No,No,WA,$50K to $500K,2,Trust,Bus & coach charter; Tours & tour operations; Travel management services; Bus & coach charter; Tours & tour operations; Travel management services; Bus & coach charter; Tours & tour operations; Travel management services
a1G7F000000SlcTUAS,0017F00000ivcP4QAI,Girraway Ganyi Consultancy Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Corporation (Pty Ltd),Counselling services; Employment & workplace programs; Cultural awareness training; Cultural competence training and programs; Counselling services; Employment & workplace programs; Cultural awareness training; Cultural competence training and programs
a1G7F000000SlmMUAS,0017F00000ivcJEQAY,Miss Ashlee Enterprise,Registered,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Community & social services; Content development & instructional design; Leadership development & coaching; Monitoring & evaluation; Training delivery & facilitation; Community & social services; Content development & instructional design; Leadership development & coaching; Monitoring & evaluation; Training delivery & facilitation
a1G7F000000SlbcUAC,0017F00000ivcVUQAY,NINTI PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,20,Corporation (Pty Ltd),Social research services; Management consulting & consultants; Project management; Academic research; Social research services; Management consulting & consultants; Project management; Academic research
a1G7F000000SlZLUA0,0017F00000ivcQ3QAI,Balkanu Cape York Development Corporation Pty Ltd,Registered,No,No,QLD,$5M to $10M,60,Corporation (Pty Ltd),Remote & regional development programs; Business & strategic planning services; Remote & regional development programs; Business & strategic planning services
a1G7F000000SlawUAC,0017F00000ivcOlQAI,Spirit Dreaming Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,2,Corporation (Pty Ltd),Content development & instructional design; Cultural awareness training; Training delivery & facilitation; Content development & instructional design; Cultural awareness training; Training delivery & facilitation
a1G7F000000SlV1UAK,0017F00000ivcPhQAI,The Trustee for Wayne Quilliam Photography Trust,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Trust,Video production & editing services; Art gallery; Professional artists; NAIDOC products & services; Photographer; Photographic and recording media; Video production & editing services; Art gallery; Professional artists; NAIDOC products & services; Photographer; Photographic and recording media; Video production & editing services; Art gallery; Professional artists; NAIDOC products & services; Photographer; Photographic and recording media
a1G7F0000002wA2UAI,0017F00000ivcaDQAQ,iLH-Australia Group,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$5M to $10M,12,Corporation (Pty Ltd),Civil construction; Civil construction; Cultural awareness training; Training & development; Excavators hire; Recruitment; Civil construction; Civil construction; Cultural awareness training; Training & development; Excavators hire; Recruitment; Civil construction; Cultural awareness training; Training & development; Excavators hire; Recruitment; Civil construction; Cultural awareness training; Training & development; Excavators hire; Recruitment
a1G7F000000SldXUAS,0017F00000ivcakQAA,Daargun Aboriginal Corporation,Registered,No,No,NSW,$50K to $500K,2,Aboriginal Corporation (Registered with ORIC),Other maintenance & services; Community & social services; Building maintenance & services; Other maintenance & services; Other maintenance & services; Community & social services; Building maintenance & services; Other maintenance & services
a1G7F000000SlakUAC,0017F00000ivcFxQAI,Global Values Xchange Pty Ltd,Registered,Yes,No,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Training delivery & facilitation; Training delivery & facilitation
a1G7F000000SlaYUAS,0017F00000ivcfeQAA,Murawin Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,22,Corporation (Pty Ltd),Community engagement & consultation services; Policy review and evaluation; Social research; RAP implementation and assistance; Training delivery & facilitation; Community engagement & consultation services; Policy review and evaluation; Social research; RAP implementation and assistance; Training delivery & facilitation
a1G7F000000SlhgUAC,0017F00000ivceFQAQ,The Trustee for the Briggs Family Trust,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Trust,Management consulting & consultants; Content development & instructional design; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation; Management consulting & consultants; Content development & instructional design; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation; Management consulting & consultants; Content development & instructional design; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation
a1G7F000000SlkuUAC,0017F00000ivcKPQAY,Boomerang Training Solutions Pty Ltd,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,5,Corporation (Pty Ltd),Content development & instructional design; Cultural awareness training; Training aids & equipment; Training delivery & facilitation; Vocational education & training; Content development & instructional design; Cultural awareness training; Training aids & equipment; Training delivery & facilitation; Vocational education & training; Content development & instructional design; Cultural awareness training; Training aids & equipment; Training delivery & facilitation; Vocational education & training; Content development & instructional design; Cultural awareness training; Training aids & equipment; Training delivery & facilitation; Vocational education & training
a1G7F000000SlcRUAS,0017F00000ivcGGQAY,G Cole Consulting,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,3,Sole Trader,Employment & workplace programs; Business & strategic planning services; Leadership development & coaching; RAP implementation and assistance; Human resources development; Employment & workplace programs; Business & strategic planning services; Leadership development & coaching; RAP implementation and assistance; Human resources development
a1G7F000000Slo5UAC,0017F00000ivi8AQAQ,Regional Economic Solutions Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$500K to $1M,5,Corporation (Pty Ltd),Governance training; Academic research; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation; Governance training; Academic research; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation; Governance training; Academic research; Cultural awareness training; RAP implementation and assistance; Training delivery & facilitation
