"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Rate per 10000 young people","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","1.2","1.5","1.6","0.9","0.7","1.0","1.4","0.9","1.3"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","63.1","11.1","144.3","74.0","14.6","3.4","2.6","30.5","343.6"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Number","Actual","Non-Indigenous young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","87.1","90.4","76.5","22.1","10.7","4.6","5.4","1.3","298.0"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Unknown Indigenous status","Young people in detention on an average day","Number","Actual","Unknown Indigenous status","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1.0","0","0.1","0","0","0","0","0.4","1.5"
"CtG11A.1","2020","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in the population at 31 December","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","59275","12892","48277","20080","8918","6016","1442","11908","168839"
"CtG11A.1","2020","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in the population at 31 December","Number","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","723423","603199","491320","252652","158654","46803","39674","14450","2330560"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","26.9"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","10.9","35.0","39.4","20.0","7.0","22.4","30.7","24.6"
"CtG11A.1","2020-21","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","1.8","5.4","4.7","3.1","1.5","9.6","8.9","2.9"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.8","13.1","29.5","38.5","20.9","8.3","33.6","19.5","22.6"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Rate per 10000 young people","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","1.4","1.7","1.1","1.2","1.1","1.9","2.5","0.5","1.4"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","91.9","16.5","138.1","75.5","18.1","4.9","4.9","23.3","373.1"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in detention on an average day","Number","Actual","Non-Indigenous young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","100.0","101.9","52.0","28.2","16.5","9.0","9.5","0.7","317.8"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Unknown Indigenous status","Young people in detention on an average day","Number","Actual","Unknown Indigenous status","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset","no.","1.4","0","0","0","0","0","0","0","1.5"
"CtG11A.1","2019","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in the population at 31 December","Number","Actual","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","57986","12562","46883","19593","8634","5874","1452","11980","164991"
"CtG11A.1","2019","Rate of young people in detention","10-17 years old","All people","Non-Indigenous people","Young people in the population at 31 December","Number","Actual","Non-Indigenous young people","","10-17 years old","","","Derived from ABS National state and territory population - December; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","712516","596208","481311","245445","156594","46181","38442","14025","2291095"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","27.6"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","12.5","33.4","43.1","21.5","7.0","20.4","27.3","24.6"
"CtG11A.1","2019-20","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","2.2","6.9","6.0","3.9","1.5","12.2","11.3","2.9"
